datetime,QLD,NSW_VIC,SA
25-08-18 13:12:59,50.661816,49.830963,50.180599
25-08-18 13:13:00,50.667168,49.835949,50.181255
25-08-18 13:13:01,50.677422,49.841766,50.180988
25-08-18 13:13:02,50.683372,49.848709,50.180725
25-08-18 13:13:03,50.688087,49.862022,50.180988
25-08-18 13:13:04,50.688698,49.873142,50.181465
25-08-18 13:13:05,50.691998,49.88044,50.182762
25-08-18 13:13:06,50.696068,49.886707,50.184937
25-08-18 13:13:07,50.696289,49.886547,50.186279
25-08-18 13:13:08,50.692482,49.885212,50.185646
25-08-18 13:13:09,50.697929,49.882538,50.185413
25-08-18 13:13:10,50.700497,49.88488,50.184502
25-08-18 13:13:11,50.702332,49.886658,50.181484
25-08-18 13:13:12,50.7085,49.886768,50.178688
25-08-18 13:13:13,50.70747,49.887741,50.177608
25-08-18 13:13:14,50.699364,49.891884,50.178303
25-08-18 13:13:15,50.696411,49.893147,50.179707
25-08-18 13:13:16,50.699318,49.894394,50.181065
25-08-18 13:13:17,50.708084,49.899384,50.1819
25-08-18 13:13:18,50.717613,49.905754,50.182838
25-08-18 13:13:19,50.725655,49.91066,50.183266
25-08-18 13:13:20,50.735512,49.914707,50.182163
25-08-18 13:13:21,50.737148,49.917225,50.180706
25-08-18 13:13:22,50.740826,49.917801,50.180874
25-08-18 13:13:23,50.745472,49.915493,50.184273
25-08-18 13:13:24,50.741508,49.91127,50.189548
25-08-18 13:13:25,50.743813,49.905212,50.19463
25-08-18 13:13:26,50.743927,49.894535,50.198116
25-08-18 13:13:27,50.739948,49.885456,50.198597
25-08-18 13:13:28,50.741047,49.878471,50.199173
25-08-18 13:13:29,50.744072,49.871773,50.199245
25-08-18 13:13:30,50.747993,49.86232,50.195961
25-08-18 13:13:31,50.751984,49.852772,50.1894
25-08-18 13:13:32,50.753963,49.843754,50.182114
25-08-18 13:13:33,50.754269,49.837292,50.177547
25-08-18 13:13:34,50.748985,49.837437,50.176674
25-08-18 13:13:35,50.744106,49.838753,50.179691
25-08-18 13:13:36,50.743702,49.838474,50.187107
25-08-18 13:13:37,50.744633,49.845238,50.19677
25-08-18 13:13:38,50.748463,49.853542,50.204197
25-08-18 13:13:39,50.750412,49.859798,50.211601
25-08-18 13:13:40,50.751377,49.863174,50.215797
25-08-18 13:13:41,50.744076,49.869923,50.216145
25-08-18 13:13:42,50.739094,49.873783,50.213169
25-08-18 13:13:43,50.736881,49.873936,50.206188
25-08-18 13:13:44,50.737812,49.877342,50.196861
25-08-18 13:13:45,50.73341,49.881714,50.188667
25-08-18 13:13:46,50.733803,49.887619,50.184361
25-08-18 13:13:47,50.737045,49.889416,50.183636
25-08-18 13:13:48,50.73394,49.896702,50.184975
25-08-18 13:13:49,50.735172,49.900913,50.187698
25-08-18 13:13:50,50.734447,49.900253,50.193676
25-08-18 13:13:51,50.731571,49.901882,50.200264
25-08-18 13:13:52,50.726147,49.90469,50.207237
25-08-18 13:13:53,50.717503,49.902958,50.212692
25-08-18 13:13:54,50.715614,49.901131,50.215534
25-08-18 13:13:55,50.721996,49.896729,50.215652
25-08-18 13:13:56,50.722023,49.894234,50.211987
25-08-18 13:13:57,50.726429,49.891163,50.206242
25-08-18 13:13:58,50.731133,49.886963,50.20393
25-08-18 13:13:59,50.733109,49.880287,50.204613
25-08-18 13:14:00,50.734806,49.875397,50.205303
25-08-18 13:14:01,50.737385,49.874405,50.207294
25-08-18 13:14:02,50.730824,49.87244,50.212402
25-08-18 13:14:03,50.716156,49.871784,50.220211
25-08-18 13:14:04,50.7076,49.872078,50.224945
25-08-18 13:14:05,50.709732,49.874039,50.224545
25-08-18 13:14:06,50.712215,49.874451,50.224716
25-08-18 13:14:07,50.713062,49.876694,50.223312
25-08-18 13:14:08,50.715912,49.880272,50.219513
25-08-18 13:14:09,50.721333,49.883156,50.218079
25-08-18 13:14:10,50.721886,49.88382,50.218811
25-08-18 13:14:11,50.725464,49.879803,50.219276
25-08-18 13:14:12,50.730022,49.873867,50.220898
25-08-18 13:14:13,50.730122,49.864243,50.222511
25-08-18 13:14:14,50.729729,49.855145,50.222507
25-08-18 13:14:15,50.736488,49.847282,50.219162
25-08-18 13:14:16,50.741127,49.840496,50.215111
25-08-18 13:14:17,50.742485,49.834599,50.212421
25-08-18 13:14:18,50.738434,49.83358,50.210903
25-08-18 13:14:19,50.737099,49.839386,50.20974
25-08-18 13:14:20,50.736145,49.848465,50.213402
25-08-18 13:14:21,50.729542,49.858028,50.217903
25-08-18 13:14:22,50.721966,49.869804,50.220932
25-08-18 13:14:23,50.726135,49.877213,50.226791
25-08-18 13:14:24,50.729824,49.882236,50.232216
25-08-18 13:14:25,50.728214,49.884087,50.233158
25-08-18 13:14:26,50.729458,49.884254,50.229267
25-08-18 13:14:27,50.726814,49.888866,50.220062
25-08-18 13:14:28,50.73032,49.890228,50.20554
25-08-18 13:14:29,50.732502,49.894012,50.190235
25-08-18 13:14:30,50.731178,49.892471,50.178204
25-08-18 13:14:31,50.727566,49.89362,50.173801
25-08-18 13:14:32,50.726517,49.89658,50.176437
25-08-18 13:14:33,50.728077,49.896717,50.182354
25-08-18 13:14:34,50.729836,49.896988,50.192177
25-08-18 13:14:35,50.738037,49.900562,50.208511
