DUID,Region,Participant,Station Name,Technology Type - Descriptor
VPGS6,VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT)
BOLIVAR1,SA1,South Australian Water Corporation,SA Water Bolivar Waste Water Treatment (WWT) Plant,Pump Storage
INVICTA,QLD1,Stanwell Corporation Limited,Invicta Sugar Mill,Steam Sub-Critical
MACKAYGT,QLD1,Stanwell Corporation Limited,Mackay Gas Turbine,Open Cycle Gas turbines (OCGT)
STAN-1,QLD1,Stanwell Corporation Limited,Stanwell Power Station,Steam Sub-Critical
STAN-2,QLD1,Stanwell Corporation Limited,Stanwell Power Station,Steam Sub-Critical
STAN-3,QLD1,Stanwell Corporation Limited,Stanwell Power Station,Steam Sub-Critical
STAN-4,QLD1,Stanwell Corporation Limited,Stanwell Power Station,Steam Sub-Critical
TNPS1,QLD1,Stanwell Corporation Limited,Tarong North Power Station,Steam Super Critical
TARONG#1,QLD1,Stanwell Corporation Limited,Tarong Power Station,Steam Sub-Critical
TARONG#2,QLD1,Stanwell Corporation Limited,Tarong Power Station,Steam Sub-Critical
TARONG#3,QLD1,Stanwell Corporation Limited,Tarong Power Station,Steam Sub-Critical
TARONG#4,QLD1,Stanwell Corporation Limited,Tarong Power Station,Steam Sub-Critical
WIVENSH,QLD1,Stanwell Corporation Limited,Wivenhoe Small Hydro,Run of River
STARHLWF,SA1,Starfish Hill Wind Farm Pty Ltd,Starfish Hill Wind Farm,Wind - Onshore
SMCSF1,QLD1,Sun Metals Corporation Pty Ltd,Sun Metals Solar Farm,Photovoltaic Flat panel
SRSF1,QLD1,Susan River Solar Pty Ltd as Trustee for Susan River Solar Trust,Susan River Solar Farm,Photovoltaic Flat panel
DRYCGT1,SA1,Synergen Power Pty Limited,Dry Creek Gas Turbine Station,Open Cycle Gas turbines (OCGT)
DRYCGT2,SA1,Synergen Power Pty Limited,Dry Creek Gas Turbine Station,Open Cycle Gas turbines (OCGT)
DRYCGT3,SA1,Synergen Power Pty Limited,Dry Creek Gas Turbine Station,Open Cycle Gas turbines (OCGT)
MINTARO,SA1,Synergen Power Pty Limited,Mintaro Gas Turbine Station,Open Cycle Gas turbines (OCGT)
POR01,SA1,Synergen Power Pty Limited,Port Lincoln Gas Turbine,Open Cycle Gas turbines (OCGT)
POR03,SA1,Synergen Power Pty Limited,Port Lincoln Gas Turbine,Open Cycle Gas turbines (OCGT)
SNUG1,SA1,Synergen Power Pty Limited,Snuggery Power Station,Open Cycle Gas turbines (OCGT)
TARALGA1,NSW1,Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Taralga Wind Farm,Wind - Onshore
EMERASF1,QLD1,Telstra Energy (Generation) Pty Ltd,Emerald Solar Park,Photovoltaic Tracking Flat panel
MUWAWF1,VIC1,Telstra Energy (Generation) Pty Ltd,Murra Warra Wind Farm,Wind - Onshore
SAPHWF1,NSW1,The Trustee For The SWF1 Operations Trust,Sapphire Wind Farm,Wind - Onshore
TOORAWF,VIC1,Toora Wind Farm Pty Ltd,Toora Wind Farm,Wind - Onshore
TBSF1,SA1,Vena Energy Services (Australia) Pty Ltd,"Tailem Bend Solar Project 1, Units 1-54",Photovoltaic Flat Panel
TITREE,QLD1,Veolia Environmental Services (Australia) Pty Ltd,Veolia Ti Tree Bio Reactor,Compression Reciprocating Engine
WATERLWF,SA1,Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,Wind - Onshore
WEMENSF1,VIC1,Wemen Asset Co Pty Ltd ATF Wemen Solar Unit Trust ,"Wemen Solar Farm, Units 1-39 ",Photovoltaic Tracking Flat Panel
WRSF1,NSW1,White Rock Wind Farm Pty Ltd,White Rock Solar Farm,Photovoltaic Flat Panel
WRWF1,NSW1,White Rock Wind Farm Pty Ltd,White Rock Wind Farm,Wind - Onshore
WHITSF1,QLD1,Whitsunday Solar Farm Pty Ltd,Whitsunday Solar Farm,Photovoltaic Tracking Flat Panel
CTHLWF1,TAS1,Wild Cattle Hill Pty Ltd,Cattle Hill Wind Farm,Wind - Onshore
WGWF1,SA1,Willogoleche Power Pty Ltd as Trustee for the Willogoleche Operating Trust ,Willogoleche Wind Farm,Wind - Onshore
-,QLD1,Wilmar Sugar Pty Ltd,Victoria Mill,Steam Super Critical
WHILL1,QLD1,Windy Hill Wind Farm Pty Ltd,Windy Hill Wind Farm,Wind - Onshore
WOODLWN1,NSW1,Woodlawn Wind Pty Ltd,Woodlawn Wind Farm,Wind - Onshore
YARANSF1,QLD1,Yarranlea Solar Pty Ltd ,Yarranlea Solar Farm,Photovoltaic Tracking Flat panel
