DUID,Region,Participant,Station Name,Technology Type - Descriptor
MORNW,VIC1,EnergyAustralia Pty Ltd,Mornington Waste Disposal Facility,Compression Reciprocating Engine
MP1,NSW1,EnergyAustralia Pty Ltd,Mt Piper Power Station,Steam Sub-Critical
MP2,NSW1,EnergyAustralia Pty Ltd,Mt Piper Power Station,Steam Sub-Critical
TALWA1,NSW1,EnergyAustralia Pty Ltd,Tallawarra Power Station,Combined Cycle Gas Turbine (CCGT)
WDLNGN01,NSW1,EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,Compression Reciprocating Engine
WYNDW,VIC1,EnergyAustralia Pty Ltd,Wyndham Waste Disposal Facility,Compression Reciprocating Engine
AGLHAL,SA1,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,Open Cycle Gas turbines (OCGT)
YWPS1,VIC1,EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,Steam Sub-Critical
YWPS2,VIC1,EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,Steam Sub-Critical
YWPS3,VIC1,EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,Steam Sub-Critical
YWPS4,VIC1,EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,Steam Sub-Critical
BARCALDN,QLD1,Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,Combined Cycle Gas Turbine (CCGT)
LILYSF1,QLD1,Ergon Energy Queensland Pty Ltd ,Lilyvale Solar Farm,Photovoltaic Tracking Flat panel
MEWF1,QLD1,Ergon Energy Queensland Pty Ltd ,Mount Emerald Wind Farm,Wind - Onshore
OAKEY1,QLD1,ERM Power Retail Pty Ltd,Oakey Power Station,Open Cycle Gas turbines (OCGT)
OAKEY2,QLD1,ERM Power Retail Pty Ltd,Oakey Power Station,Open Cycle Gas turbines (OCGT)
GB01,NSW1,Essential Energy,Broken Hill Gas Turbines,Open Cycle Gas turbines (OCGT)
FINLYSF1,NSW1,Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Finley Solar Farm,Photovoltaic Tracking  Flat Panel
BERYLSF1,NSW1,FS NSW Project No 1 At Pty Ltd as trustee for the FS NSW Project No 1 Asset Trust,"Beryl Solar Farm, Units 1-60",Photovoltaic Tracking Flat panel
GANNSF1,VIC1,Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,Photovoltaic Tracking Flat panel
KSP1,QLD1,Genex (Solar) Pty Ltd,Kidston Solar Project,Photovoltaic Flat panel
GRANWF1,TAS1,Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Granville Harbour Wind Farm,Wind - Onshore
DALNTH01,SA1,Greentricity Pty Ltd,Dalrymple North Battery Energy Storage System,Battery
DALNTHL1,SA1,Greentricity Pty Ltd,Dalrymple North Battery Energy Storage System,Battery
GRIFSF1,NSW1,Griffith Solar Farm Pty Ltd,Griffith Solar Farm,Photovoltaic Tracking Flat panel
BURRIN,NSW1,GSP Energy Pty Ltd,Burrinjuck Hydro Power Station,Hydro - Gravity
HUMENSW,NSW1,GSP Energy Pty Ltd,Hume (NSW) Hydro Power Station,Hydro - Gravity
HUMEV,VIC1,GSP Energy Pty Ltd,Hume (Vic) Hydro Power Station,Hydro - Gravity
KEEPIT,NSW1,GSP Energy Pty Ltd,Keepit Hydro Power Station,Hydro - Gravity
GUNNING1,NSW1,Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,Wind - Onshore
HAMISF1,QLD1,Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm,Photovoltaic Tracking Flat panel
HAYMSF1,QLD1,Hayman Solar Farm Pty Ltd ATF the Hayman Solar Farm Trust ,Hayman Solar Farm,Photovoltaic Tracking Flat panel
HPRG1,SA1,Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,Battery and Inverter
HPRL1,SA1,Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,Battery
HUGSF1,QLD1,Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Hughenden Solar Farm,Photovoltaic Tracking Flat panel
HDWF1,SA1,HWF1 Pty Ltd,Hornsdale Wind Farm,Wind - Onshore
HDWF2,SA1,HWF2 Pty Ltd,Hornsdale Wind Farm 2,Wind - Onshore
HDWF3,SA1,HWF3 Pty Ltd,Hornsdale Wind Farm 3,Wind - Onshore
BROWNMT,NSW1,Hydro Power Pty Limited,Brown Mountain Hydro Power Station,Hydro - Gravity
WYANGALA,NSW1,Hydro Power Pty Limited,Wyangala A Power Station,Hydro - Gravity
WYANGALB,NSW1,Hydro Power Pty Limited,Wyangala B Power Station,Hydro - Gravity
BBTHREE1,TAS1,Hydro-Electric Corporation,Bell Bay Three Power Station,Open Cycle Gas turbines (OCGT)
BBTHREE2,TAS1,Hydro-Electric Corporation,Bell Bay Three Power Station,Open Cycle Gas turbines (OCGT)
BBTHREE3,TAS1,Hydro-Electric Corporation,Bell Bay Three Power Station,Open Cycle Gas turbines (OCGT)
TVPP104,TAS1,Hydro-Electric Corporation,Bell Bay Three Power Station,Open Cycle Gas turbines (OCGT)
TVCC201,TAS1,Hydro-Electric Corporation,Tamar Valley Combined Cycle Power Station,Combined Cycle Gas Turbine (CCGT)
BASTYAN,TAS1,Hydro-Electric Corporation,Bastyan Power Station,Hydro - Gravity
BUTLERSG,TAS1,Hydro-Electric Corporation,Butlers Gorge Power Station,Hydro - Gravity
LI_WY_CA,TAS1,Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,Hydro - Gravity
CETHANA,TAS1,Hydro-Electric Corporation,Cethana Power Station,Hydro - Gravity
CLUNY,TAS1,Hydro-Electric Corporation,Cluny Power Station,Hydro - Gravity
DEVILS_G,TAS1,Hydro-Electric Corporation,Devils Gate Power Station,Hydro - Gravity
FISHER,TAS1,Hydro-Electric Corporation,Fisher Power Station,Hydro - Gravity
GORDON,TAS1,Hydro-Electric Corporation,Gordon Power Station,Hydro - Gravity
JBUTTERS,TAS1,Hydro-Electric Corporation,John Butters Power Station,Hydro - Gravity
LK_ECHO,TAS1,Hydro-Electric Corporation,Lake Echo Power Station,Hydro - Gravity
LEM_WIL,TAS1,Hydro-Electric Corporation,Lemonthyme / Wilmot Power Station,Hydro - Gravity
MACKNTSH,TAS1,Hydro-Electric Corporation,Mackintosh Power Station,Hydro - Gravity
MEADOWBK,TAS1,Hydro-Electric Corporation,Meadowbank Power Station,Hydro - Gravity
MUSSELR1,TAS1,Hydro-Electric Corporation,Musselroe Wind Farm,Wind - Onshore
PALOONA,TAS1,Hydro-Electric Corporation,Paloona Power Station,Hydro - Gravity
POAT110,TAS1,Hydro-Electric Corporation,Poatina Power Station,Hydro - Gravity
POAT220,TAS1,Hydro-Electric Corporation,Poatina Power Station,Hydro - Gravity
REECE1,TAS1,Hydro-Electric Corporation,Reece Power Station,Hydro - Gravity
